"alpha","N","n","S","S_size","sign","exponent"
1,9,0,"{1;4;6;7}",4,1,18
1,9,0,"{1;4;6;8}",4,1,19
1,9,0,"{1;4;6;9}",4,1,20
1,9,0,"{1;4;7;8}",4,1,20
1,9,0,"{1;4;7;9}",4,1,21
1,9,0,"{1;4;8;9}",4,1,22
1,9,0,"{1;5;6;7}",4,1,19
1,9,0,"{1;5;6;8}",4,1,20
1,9,0,"{1;5;6;9}",4,1,21
1,9,0,"{1;5;7;8}",4,1,21
1,9,0,"{1;5;7;9}",4,1,22
1,9,0,"{1;5;8;9}",4,1,23
1,9,0,"{1;6;7;8}",4,1,22
1,9,0,"{1;6;7;9}",4,1,23
1,9,0,"{1;6;8;9}",4,1,24
1,9,0,"{1;7;8;9}",4,1,25
1,9,0,"{2;3;4;5}",4,1,14
1,9,0,"{2;3;4;6}",4,1,15
1,9,0,"{2;3;4;7}",4,1,16
1,9,0,"{2;3;4;8}",4,1,17
1,9,0,"{2;3;4;9}",4,1,18
1,9,0,"{2;3;5;6}",4,1,16
1,9,0,"{2;3;5;7}",4,1,17
1,9,0,"{2;3;5;8}",4,1,18
1,9,0,"{2;3;5;9}",4,1,19
1,9,0,"{2;3;6;7}",4,1,18
1,9,0,"{2;3;6;8}",4,1,19
1,9,0,"{2;3;6;9}",4,1,20
1,9,0,"{2;3;7;8}",4,1,20
1,9,0,"{2;3;7;9}",4,1,21
1,9,0,"{2;3;8;9}",4,1,22
1,9,0,"{2;4;5;6}",4,1,17
1,9,0,"{2;4;5;7}",4,1,18
1,9,0,"{2;4;5;8}",4,1,19
1,9,0,"{2;4;5;9}",4,1,20
1,9,0,"{2;4;6;7}",4,1,19
1,9,0,"{2;4;6;8}",4,1,20
1,9,0,"{2;4;6;9}",4,1,21
1,9,0,"{2;4;7;8}",4,1,21
1,9,0,"{2;4;7;9}",4,1,22
1,9,0,"{2;4;8;9}",4,1,23
1,9,0,"{2;5;6;7}",4,1,20
1,9,0,"{2;5;6;8}",4,1,21
1,9,0,"{2;5;6;9}",4,1,22
1,9,0,"{2;5;7;8}",4,1,22
1,9,0,"{2;5;7;9}",4,1,23
1,9,0,"{2;5;8;9}",4,1,24
1,9,0,"{2;6;7;8}",4,1,23
1,9,0,"{2;6;7;9}",4,1,24
1,9,0,"{2;6;8;9}",4,1,25
1,9,0,"{2;7;8;9}",4,1,26
1,9,0,"{3;4;5;6}",4,1,18
1,9,0,"{3;4;5;7}",4,1,19
1,9,0,"{3;4;5;8}",4,1,20
1,9,0,"{3;4;5;9}",4,1,21
1,9,0,"{3;4;6;7}",4,1,20
1,9,0,"{3;4;6;8}",4,1,21
1,9,0,"{3;4;6;9}",4,1,22
1,9,0,"{3;4;7;8}",4,1,22
1,9,0,"{3;4;7;9}",4,1,23
1,9,0,"{3;4;8;9}",4,1,24
1,9,0,"{3;5;6;7}",4,1,21
1,9,0,"{3;5;6;8}",4,1,22
1,9,0,"{3;5;6;9}",4,1,23
1,9,0,"{3;5;7;8}",4,1,23
1,9,0,"{3;5;7;9}",4,1,24
1,9,0,"{3;5;8;9}",4,1,25
1,9,0,"{3;6;7;8}",4,1,24
1,9,0,"{3;6;7;9}",4,1,25
1,9,0,"{3;6;8;9}",4,1,26
1,9,0,"{3;7;8;9}",4,1,27
1,9,0,"{4;5;6;7}",4,1,22
1,9,0,"{4;5;6;8}",4,1,23
1,9,0,"{4;5;6;9}",4,1,24
1,9,0,"{4;5;7;8}",4,1,24
1,9,0,"{4;5;7;9}",4,1,25
1,9,0,"{4;5;8;9}",4,1,26
1,9,0,"{4;6;7;8}",4,1,25
1,9,0,"{4;6;7;9}",4,1,26
1,9,0,"{4;6;8;9}",4,1,27
1,9,0,"{4;7;8;9}",4,1,28
1,9,0,"{5;6;7;8}",4,1,26
1,9,0,"{5;6;7;9}",4,1,27
1,9,0,"{5;6;8;9}",4,1,28
1,9,0,"{5;7;8;9}",4,1,29
1,9,0,"{6;7;8;9}",4,1,30
1,9,0,"{1;2;3;4;5}",5,-1,15
1,9,0,"{1;2;3;4;6}",5,-1,16
1,9,0,"{1;2;3;4;7}",5,-1,17
1,9,0,"{1;2;3;4;8}",5,-1,18
1,9,0,"{1;2;3;4;9}",5,-1,19
1,9,0,"{1;2;3;5;6}",5,-1,17
1,9,0,"{1;2;3;5;7}",5,-1,18
1,9,0,"{1;2;3;5;8}",5,-1,19
1,9,0,"{1;2;3;5;9}",5,-1,20
1,9,0,"{1;2;3;6;7}",5,-1,19
1,9,0,"{1;2;3;6;8}",5,-1,20
1,9,0,"{1;2;3;6;9}",5,-1,21
1,9,0,"{1;2;3;7;8}",5,-1,21
1,9,0,"{1;2;3;7;9}",5,-1,22
1,9,0,"{1;2;3;8;9}",5,-1,23
1,9,0,"{1;2;4;5;6}",5,-1,18
1,9,0,"{1;2;4;5;7}",5,-1,19
1,9,0,"{1;2;4;5;8}",5,-1,20
1,9,0,"{1;2;4;5;9}",5,-1,21
1,9,0,"{1;2;4;6;7}",5,-1,20
1,9,0,"{1;2;4;6;8}",5,-1,21
1,9,0,"{1;2;4;6;9}",5,-1,22
1,9,0,"{1;2;4;7;8}",5,-1,22
1,9,0,"{1;2;4;7;9}",5,-1,23
1,9,0,"{1;2;4;8;9}",5,-1,24
1,9,0,"{1;2;5;6;7}",5,-1,21
1,9,0,"{1;2;5;6;8}",5,-1,22
1,9,0,"{1;2;5;6;9}",5,-1,23
1,9,0,"{1;2;5;7;8}",5,-1,23
1,9,0,"{1;2;5;7;9}",5,-1,24
1,9,0,"{1;2;5;8;9}",5,-1,25
1,9,0,"{1;2;6;7;8}",5,-1,24
1,9,0,"{1;2;6;7;9}",5,-1,25
1,9,0,"{1;2;6;8;9}",5,-1,26
1,9,0,"{1;2;7;8;9}",5,-1,27
1,9,0,"{1;3;4;5;6}",5,-1,19
1,9,0,"{1;3;4;5;7}",5,-1,20
1,9,0,"{1;3;4;5;8}",5,-1,21
1,9,0,"{1;3;4;5;9}",5,-1,22
1,9,0,"{1;3;4;6;7}",5,-1,21
1,9,0,"{1;3;4;6;8}",5,-1,22
1,9,0,"{1;3;4;6;9}",5,-1,23
1,9,0,"{1;3;4;7;8}",5,-1,23
1,9,0,"{1;3;4;7;9}",5,-1,24
1,9,0,"{1;3;4;8;9}",5,-1,25
1,9,0,"{1;3;5;6;7}",5,-1,22
1,9,0,"{1;3;5;6;8}",5,-1,23
1,9,0,"{1;3;5;6;9}",5,-1,24
1,9,0,"{1;3;5;7;8}",5,-1,24
1,9,0,"{1;3;5;7;9}",5,-1,25
1,9,0,"{1;3;5;8;9}",5,-1,26
1,9,0,"{1;3;6;7;8}",5,-1,25
1,9,0,"{1;3;6;7;9}",5,-1,26
1,9,0,"{1;3;6;8;9}",5,-1,27
1,9,0,"{1;3;7;8;9}",5,-1,28
1,9,0,"{1;4;5;6;7}",5,-1,23
1,9,0,"{1;4;5;6;8}",5,-1,24
1,9,0,"{1;4;5;6;9}",5,-1,25
1,9,0,"{1;4;5;7;8}",5,-1,25
1,9,0,"{1;4;5;7;9}",5,-1,26
1,9,0,"{1;4;5;8;9}",5,-1,27
1,9,0,"{1;4;6;7;8}",5,-1,26
1,9,0,"{1;4;6;7;9}",5,-1,27
1,9,0,"{1;4;6;8;9}",5,-1,28
1,9,0,"{1;4;7;8;9}",5,-1,29
1,9,0,"{1;5;6;7;8}",5,-1,27
1,9,0,"{1;5;6;7;9}",5,-1,28
1,9,0,"{1;5;6;8;9}",5,-1,29
1,9,0,"{1;5;7;8;9}",5,-1,30
1,9,0,"{1;6;7;8;9}",5,-1,31
1,9,0,"{2;3;4;5;6}",5,-1,20
1,9,0,"{2;3;4;5;7}",5,-1,21
1,9,0,"{2;3;4;5;8}",5,-1,22
1,9,0,"{2;3;4;5;9}",5,-1,23
1,9,0,"{2;3;4;6;7}",5,-1,22
1,9,0,"{2;3;4;6;8}",5,-1,23
1,9,0,"{2;3;4;6;9}",5,-1,24
1,9,0,"{2;3;4;7;8}",5,-1,24
1,9,0,"{2;3;4;7;9}",5,-1,25
1,9,0,"{2;3;4;8;9}",5,-1,26
1,9,0,"{2;3;5;6;7}",5,-1,23
1,9,0,"{2;3;5;6;8}",5,-1,24
1,9,0,"{2;3;5;6;9}",5,-1,25
1,9,0,"{2;3;5;7;8}",5,-1,25
1,9,0,"{2;3;5;7;9}",5,-1,26
1,9,0,"{2;3;5;8;9}",5,-1,27
1,9,0,"{2;3;6;7;8}",5,-1,26
1,9,0,"{2;3;6;7;9}",5,-1,27
1,9,0,"{2;3;6;8;9}",5,-1,28
1,9,0,"{2;3;7;8;9}",5,-1,29
1,9,0,"{2;4;5;6;7}",5,-1,24
1,9,0,"{2;4;5;6;8}",5,-1,25
1,9,0,"{2;4;5;6;9}",5,-1,26
1,9,0,"{2;4;5;7;8}",5,-1,26
1,9,0,"{2;4;5;7;9}",5,-1,27
1,9,0,"{2;4;5;8;9}",5,-1,28
1,9,0,"{2;4;6;7;8}",5,-1,27
1,9,0,"{2;4;6;7;9}",5,-1,28
1,9,0,"{2;4;6;8;9}",5,-1,29
1,9,0,"{2;4;7;8;9}",5,-1,30
1,9,0,"{2;5;6;7;8}",5,-1,28
1,9,0,"{2;5;6;7;9}",5,-1,29
1,9,0,"{2;5;6;8;9}",5,-1,30
1,9,0,"{2;5;7;8;9}",5,-1,31
1,9,0,"{2;6;7;8;9}",5,-1,32
1,9,0,"{3;4;5;6;7}",5,-1,25
1,9,0,"{3;4;5;6;8}",5,-1,26
1,9,0,"{3;4;5;6;9}",5,-1,27
1,9,0,"{3;4;5;7;8}",5,-1,27
1,9,0,"{3;4;5;7;9}",5,-1,28
1,9,0,"{3;4;5;8;9}",5,-1,29
1,9,0,"{3;4;6;7;8}",5,-1,28
1,9,0,"{3;4;6;7;9}",5,-1,29
1,9,0,"{3;4;6;8;9}",5,-1,30
1,9,0,"{3;4;7;8;9}",5,-1,31
1,9,0,"{3;5;6;7;8}",5,-1,29
1,9,0,"{3;5;6;7;9}",5,-1,30
1,9,0,"{3;5;6;8;9}",5,-1,31
1,9,0,"{3;5;7;8;9}",5,-1,32
1,9,0,"{3;6;7;8;9}",5,-1,33
1,9,0,"{4;5;6;7;8}",5,-1,30
1,9,0,"{4;5;6;7;9}",5,-1,31
1,9,0,"{4;5;6;8;9}",5,-1,32
1,9,0,"{4;5;7;8;9}",5,-1,33
1,9,0,"{4;6;7;8;9}",5,-1,34
1,9,0,"{5;6;7;8;9}",5,-1,35
1,9,0,"{1;2;3;4;5;6}",6,1,21
1,9,0,"{1;2;3;4;5;7}",6,1,22
1,9,0,"{1;2;3;4;5;8}",6,1,23
1,9,0,"{1;2;3;4;5;9}",6,1,24
1,9,0,"{1;2;3;4;6;7}",6,1,23
1,9,0,"{1;2;3;4;6;8}",6,1,24
1,9,0,"{1;2;3;4;6;9}",6,1,25
1,9,0,"{1;2;3;4;7;8}",6,1,25
1,9,0,"{1;2;3;4;7;9}",6,1,26
1,9,0,"{1;2;3;4;8;9}",6,1,27
1,9,0,"{1;2;3;5;6;7}",6,1,24
1,9,0,"{1;2;3;5;6;8}",6,1,25
1,9,0,"{1;2;3;5;6;9}",6,1,26
1,9,0,"{1;2;3;5;7;8}",6,1,26
1,9,0,"{1;2;3;5;7;9}",6,1,27
1,9,0,"{1;2;3;5;8;9}",6,1,28
1,9,0,"{1;2;3;6;7;8}",6,1,27
1,9,0,"{1;2;3;6;7;9}",6,1,28
1,9,0,"{1;2;3;6;8;9}",6,1,29
1,9,0,"{1;2;3;7;8;9}",6,1,30
1,9,0,"{1;2;4;5;6;7}",6,1,25
1,9,0,"{1;2;4;5;6;8}",6,1,26
1,9,0,"{1;2;4;5;6;9}",6,1,27
1,9,0,"{1;2;4;5;7;8}",6,1,27
1,9,0,"{1;2;4;5;7;9}",6,1,28
1,9,0,"{1;2;4;5;8;9}",6,1,29
1,9,0,"{1;2;4;6;7;8}",6,1,28
1,9,0,"{1;2;4;6;7;9}",6,1,29
1,9,0,"{1;2;4;6;8;9}",6,1,30
1,9,0,"{1;2;4;7;8;9}",6,1,31
1,9,0,"{1;2;5;6;7;8}",6,1,29
1,9,0,"{1;2;5;6;7;9}",6,1,30
1,9,0,"{1;2;5;6;8;9}",6,1,31
1,9,0,"{1;2;5;7;8;9}",6,1,32
1,9,0,"{1;2;6;7;8;9}",6,1,33
1,9,0,"{1;3;4;5;6;7}",6,1,26
1,9,0,"{1;3;4;5;6;8}",6,1,27
1,9,0,"{1;3;4;5;6;9}",6,1,28
1,9,0,"{1;3;4;5;7;8}",6,1,28
1,9,0,"{1;3;4;5;7;9}",6,1,29
1,9,0,"{1;3;4;5;8;9}",6,1,30
1,9,0,"{1;3;4;6;7;8}",6,1,29
1,9,0,"{1;3;4;6;7;9}",6,1,30
1,9,0,"{1;3;4;6;8;9}",6,1,31
1,9,0,"{1;3;4;7;8;9}",6,1,32
1,9,0,"{1;3;5;6;7;8}",6,1,30
1,9,0,"{1;3;5;6;7;9}",6,1,31
1,9,0,"{1;3;5;6;8;9}",6,1,32
1,9,0,"{1;3;5;7;8;9}",6,1,33
1,9,0,"{1;3;6;7;8;9}",6,1,34
1,9,0,"{1;4;5;6;7;8}",6,1,31
1,9,0,"{1;4;5;6;7;9}",6,1,32
1,9,0,"{1;4;5;6;8;9}",6,1,33
1,9,0,"{1;4;5;7;8;9}",6,1,34
1,9,0,"{1;4;6;7;8;9}",6,1,35
1,9,0,"{1;5;6;7;8;9}",6,1,36
1,9,0,"{2;3;4;5;6;7}",6,1,27
1,9,0,"{2;3;4;5;6;8}",6,1,28
1,9,0,"{2;3;4;5;6;9}",6,1,29
1,9,0,"{2;3;4;5;7;8}",6,1,29
1,9,0,"{2;3;4;5;7;9}",6,1,30
1,9,0,"{2;3;4;5;8;9}",6,1,31
1,9,0,"{2;3;4;6;7;8}",6,1,30
1,9,0,"{2;3;4;6;7;9}",6,1,31
1,9,0,"{2;3;4;6;8;9}",6,1,32
1,9,0,"{2;3;4;7;8;9}",6,1,33
1,9,0,"{2;3;5;6;7;8}",6,1,31
1,9,0,"{2;3;5;6;7;9}",6,1,32
1,9,0,"{2;3;5;6;8;9}",6,1,33
1,9,0,"{2;3;5;7;8;9}",6,1,34
1,9,0,"{2;3;6;7;8;9}",6,1,35
1,9,0,"{2;4;5;6;7;8}",6,1,32
1,9,0,"{2;4;5;6;7;9}",6,1,33
1,9,0,"{2;4;5;6;8;9}",6,1,34
1,9,0,"{2;4;5;7;8;9}",6,1,35
1,9,0,"{2;4;6;7;8;9}",6,1,36
1,9,0,"{2;5;6;7;8;9}",6,1,37
1,9,0,"{3;4;5;6;7;8}",6,1,33
1,9,0,"{3;4;5;6;7;9}",6,1,34
1,9,0,"{3;4;5;6;8;9}",6,1,35
1,9,0,"{3;4;5;7;8;9}",6,1,36
1,9,0,"{3;4;6;7;8;9}",6,1,37
1,9,0,"{3;5;6;7;8;9}",6,1,38
1,9,0,"{4;5;6;7;8;9}",6,1,39
1,9,0,"{1;2;3;4;5;6;7}",7,-1,28
1,9,0,"{1;2;3;4;5;6;8}",7,-1,29
1,9,0,"{1;2;3;4;5;6;9}",7,-1,30
1,9,0,"{1;2;3;4;5;7;8}",7,-1,30
1,9,0,"{1;2;3;4;5;7;9}",7,-1,31
1,9,0,"{1;2;3;4;5;8;9}",7,-1,32
1,9,0,"{1;2;3;4;6;7;8}",7,-1,31
1,9,0,"{1;2;3;4;6;7;9}",7,-1,32
1,9,0,"{1;2;3;4;6;8;9}",7,-1,33
1,9,0,"{1;2;3;4;7;8;9}",7,-1,34
1,9,0,"{1;2;3;5;6;7;8}",7,-1,32
1,9,0,"{1;2;3;5;6;7;9}",7,-1,33
1,9,0,"{1;2;3;5;6;8;9}",7,-1,34
1,9,0,"{1;2;3;5;7;8;9}",7,-1,35
1,9,0,"{1;2;3;6;7;8;9}",7,-1,36
1,9,0,"{1;2;4;5;6;7;8}",7,-1,33
1,9,0,"{1;2;4;5;6;7;9}",7,-1,34
1,9,0,"{1;2;4;5;6;8;9}",7,-1,35
1,9,0,"{1;2;4;5;7;8;9}",7,-1,36
1,9,0,"{1;2;4;6;7;8;9}",7,-1,37
1,9,0,"{1;2;5;6;7;8;9}",7,-1,38
1,9,0,"{1;3;4;5;6;7;8}",7,-1,34
1,9,0,"{1;3;4;5;6;7;9}",7,-1,35
1,9,0,"{1;3;4;5;6;8;9}",7,-1,36
1,9,0,"{1;3;4;5;7;8;9}",7,-1,37
1,9,0,"{1;3;4;6;7;8;9}",7,-1,38
1,9,0,"{1;3;5;6;7;8;9}",7,-1,39
1,9,0,"{1;4;5;6;7;8;9}",7,-1,40
1,9,0,"{2;3;4;5;6;7;8}",7,-1,35
1,9,0,"{2;3;4;5;6;7;9}",7,-1,36
1,9,0,"{2;3;4;5;6;8;9}",7,-1,37
1,9,0,"{2;3;4;5;7;8;9}",7,-1,38
1,9,0,"{2;3;4;6;7;8;9}",7,-1,39
1,9,0,"{2;3;5;6;7;8;9}",7,-1,40
1,9,0,"{1;2;3;4;5;6;7;8}",8,1,36
1,9,0,"{1;2;3;4;5;6;7;9}",8,1,37
1,9,0,"{1;2;3;4;5;6;8;9}",8,1,38
1,9,0,"{1;2;3;4;5;7;8;9}",8,1,39
1,9,0,"{1;2;3;4;6;7;8;9}",8,1,40
1,9,1,"{}",0,1,2
1,9,1,"{2}",1,-1,4
1,9,1,"{3}",1,-1,5
1,9,1,"{4}",1,-1,6
1,9,1,"{5}",1,-1,7
1,9,1,"{6}",1,-1,8
1,9,1,"{7}",1,-1,9
1,9,1,"{8}",1,-1,10
1,9,1,"{9}",1,-1,11
1,9,1,"{2;3}",2,1,7
1,9,1,"{2;4}",2,1,8
1,9,1,"{2;5}",2,1,9
1,9,1,"{2;6}",2,1,10
1,9,1,"{2;7}",2,1,11
1,9,1,"{2;8}",2,1,12
1,9,1,"{2;9}",2,1,13
1,9,1,"{3;4}",2,1,9
1,9,1,"{3;5}",2,1,10
1,9,1,"{3;6}",2,1,11
1,9,1,"{3;7}",2,1,12
1,9,1,"{3;8}",2,1,13
1,9,1,"{3;9}",2,1,14
1,9,1,"{4;5}",2,1,11
1,9,1,"{4;6}",2,1,12
1,9,1,"{4;7}",2,1,13
1,9,1,"{4;8}",2,1,14
1,9,1,"{4;9}",2,1,15
1,9,1,"{5;6}",2,1,13
1,9,1,"{5;7}",2,1,14
1,9,1,"{5;8}",2,1,15
1,9,1,"{5;9}",2,1,16
1,9,1,"{6;7}",2,1,15
1,9,1,"{6;8}",2,1,16
1,9,1,"{6;9}",2,1,17
1,9,1,"{7;8}",2,1,17
1,9,1,"{7;9}",2,1,18
1,9,1,"{8;9}",2,1,19
1,9,1,"{2;3;4}",3,-1,11
1,9,1,"{2;3;5}",3,-1,12
1,9,1,"{2;3;6}",3,-1,13
1,9,1,"{2;3;7}",3,-1,14
1,9,1,"{2;3;8}",3,-1,15
1,9,1,"{2;3;9}",3,-1,16
1,9,1,"{2;4;5}",3,-1,13
1,9,1,"{2;4;6}",3,-1,14
1,9,1,"{2;4;7}",3,-1,15
1,9,1,"{2;4;8}",3,-1,16
1,9,1,"{2;4;9}",3,-1,17
1,9,1,"{2;5;6}",3,-1,15
1,9,1,"{2;5;7}",3,-1,16
1,9,1,"{2;5;8}",3,-1,17
1,9,1,"{2;5;9}",3,-1,18
1,9,1,"{2;6;7}",3,-1,17
1,9,1,"{2;6;8}",3,-1,18
1,9,1,"{2;6;9}",3,-1,19
1,9,1,"{2;7;8}",3,-1,19
1,9,1,"{2;7;9}",3,-1,20
1,9,1,"{2;8;9}",3,-1,21
1,9,1,"{3;4;5}",3,-1,14
1,9,1,"{3;4;6}",3,-1,15
1,9,1,"{3;4;7}",3,-1,16
1,9,1,"{3;4;8}",3,-1,17
1,9,1,"{3;4;9}",3,-1,18
1,9,1,"{3;5;6}",3,-1,16
1,9,1,"{3;5;7}",3,-1,17
1,9,1,"{3;5;8}",3,-1,18
1,9,1,"{3;5;9}",3,-1,19
1,9,1,"{3;6;7}",3,-1,18
1,9,1,"{3;6;8}",3,-1,19
1,9,1,"{3;6;9}",3,-1,20
1,9,1,"{3;7;8}",3,-1,20
1,9,1,"{3;7;9}",3,-1,21
1,9,1,"{3;8;9}",3,-1,22
1,9,1,"{4;5;6}",3,-1,17
1,9,1,"{4;5;7}",3,-1,18
1,9,1,"{4;5;8}",3,-1,19
1,9,1,"{4;5;9}",3,-1,20
1,9,1,"{4;6;7}",3,-1,19
1,9,1,"{4;6;8}",3,-1,20
1,9,1,"{4;6;9}",3,-1,21
1,9,1,"{4;7;8}",3,-1,21
1,9,1,"{4;7;9}",3,-1,22
1,9,1,"{4;8;9}",3,-1,23
1,9,1,"{5;6;7}",3,-1,20
1,9,1,"{5;6;8}",3,-1,21
1,9,1,"{5;6;9}",3,-1,22
1,9,1,"{5;7;8}",3,-1,22
1,9,1,"{5;7;9}",3,-1,23
1,9,1,"{5;8;9}",3,-1,24
1,9,1,"{6;7;8}",3,-1,23
1,9,1,"{6;7;9}",3,-1,24
1,9,1,"{6;8;9}",3,-1,25
1,9,1,"{7;8;9}",3,-1,26
1,9,1,"{2;3;4;5}",4,1,16
1,9,1,"{2;3;4;6}",4,1,17
1,9,1,"{2;3;4;7}",4,1,18
1,9,1,"{2;3;4;8}",4,1,19
1,9,1,"{2;3;4;9}",4,1,20
1,9,1,"{2;3;5;6}",4,1,18
1,9,1,"{2;3;5;7}",4,1,19
1,9,1,"{2;3;5;8}",4,1,20
1,9,1,"{2;3;5;9}",4,1,21
1,9,1,"{2;3;6;7}",4,1,20
1,9,1,"{2;3;6;8}",4,1,21
1,9,1,"{2;3;6;9}",4,1,22
1,9,1,"{2;3;7;8}",4,1,22
1,9,1,"{2;3;7;9}",4,1,23
1,9,1,"{2;3;8;9}",4,1,24
1,9,1,"{2;4;5;6}",4,1,19
1,9,1,"{2;4;5;7}",4,1,20
1,9,1,"{2;4;5;8}",4,1,21
1,9,1,"{2;4;5;9}",4,1,22
1,9,1,"{2;4;6;7}",4,1,21
1,9,1,"{2;4;6;8}",4,1,22
1,9,1,"{2;4;6;9}",4,1,23
1,9,1,"{2;4;7;8}",4,1,23
1,9,1,"{2;4;7;9}",4,1,24
1,9,1,"{2;4;8;9}",4,1,25
1,9,1,"{2;5;6;7}",4,1,22
1,9,1,"{2;5;6;8}",4,1,23
1,9,1,"{2;5;6;9}",4,1,24
1,9,1,"{2;5;7;8}",4,1,24
1,9,1,"{2;5;7;9}",4,1,25
1,9,1,"{2;5;8;9}",4,1,26
1,9,1,"{2;6;7;8}",4,1,25
1,9,1,"{2;6;7;9}",4,1,26
1,9,1,"{2;6;8;9}",4,1,27
1,9,1,"{2;7;8;9}",4,1,28
1,9,1,"{3;4;5;6}",4,1,20
1,9,1,"{3;4;5;7}",4,1,21
1,9,1,"{3;4;5;8}",4,1,22
1,9,1,"{3;4;5;9}",4,1,23
1,9,1,"{3;4;6;7}",4,1,22
1,9,1,"{3;4;6;8}",4,1,23
1,9,1,"{3;4;6;9}",4,1,24
1,9,1,"{3;4;7;8}",4,1,24
1,9,1,"{3;4;7;9}",4,1,25
1,9,1,"{3;4;8;9}",4,1,26
1,9,1,"{3;5;6;7}",4,1,23
1,9,1,"{3;5;6;8}",4,1,24
1,9,1,"{3;5;6;9}",4,1,25
1,9,1,"{3;5;7;8}",4,1,25
1,9,1,"{3;5;7;9}",4,1,26
1,9,1,"{3;5;8;9}",4,1,27
1,9,1,"{3;6;7;8}",4,1,26
1,9,1,"{3;6;7;9}",4,1,27
1,9,1,"{3;6;8;9}",4,1,28
1,9,1,"{3;7;8;9}",4,1,29
1,9,1,"{4;5;6;7}",4,1,24
1,9,1,"{4;5;6;8}",4,1,25
1,9,1,"{4;5;6;9}",4,1,26
1,9,1,"{4;5;7;8}",4,1,26
1,9,1,"{4;5;7;9}",4,1,27
1,9,1,"{4;5;8;9}",4,1,28
1,9,1,"{4;6;7;8}",4,1,27
1,9,1,"{4;6;7;9}",4,1,28
1,9,1,"{4;6;8;9}",4,1,29
1,9,1,"{4;7;8;9}",4,1,30
1,9,1,"{5;6;7;8}",4,1,28
1,9,1,"{5;6;7;9}",4,1,29
1,9,1,"{5;6;8;9}",4,1,30
1,9,1,"{5;7;8;9}",4,1,31
1,9,1,"{6;7;8;9}",4,1,32
1,9,1,"{2;3;4;5;6}",5,-1,22
1,9,1,"{2;3;4;5;7}",5,-1,23
1,9,1,"{2;3;4;5;8}",5,-1,24
1,9,1,"{2;3;4;5;9}",5,-1,25
1,9,1,"{2;3;4;6;7}",5,-1,24
1,9,1,"{2;3;4;6;8}",5,-1,25
1,9,1,"{2;3;4;6;9}",5,-1,26
1,9,1,"{2;3;4;7;8}",5,-1,26
1,9,1,"{2;3;4;7;9}",5,-1,27
1,9,1,"{2;3;4;8;9}",5,-1,28
1,9,1,"{2;3;5;6;7}",5,-1,25
1,9,1,"{2;3;5;6;8}",5,-1,26
1,9,1,"{2;3;5;6;9}",5,-1,27
1,9,1,"{2;3;5;7;8}",5,-1,27
1,9,1,"{2;3;5;7;9}",5,-1,28
1,9,1,"{2;3;5;8;9}",5,-1,29
1,9,1,"{2;3;6;7;8}",5,-1,28
1,9,1,"{2;3;6;7;9}",5,-1,29
1,9,1,"{2;3;6;8;9}",5,-1,30
1,9,1,"{2;3;7;8;9}",5,-1,31
1,9,1,"{2;4;5;6;7}",5,-1,26
1,9,1,"{2;4;5;6;8}",5,-1,27
1,9,1,"{2;4;5;6;9}",5,-1,28
1,9,1,"{2;4;5;7;8}",5,-1,28
1,9,1,"{2;4;5;7;9}",5,-1,29
1,9,1,"{2;4;5;8;9}",5,-1,30
1,9,1,"{2;4;6;7;8}",5,-1,29
1,9,1,"{2;4;6;7;9}",5,-1,30
1,9,1,"{2;4;6;8;9}",5,-1,31
1,9,1,"{2;4;7;8;9}",5,-1,32
1,9,1,"{2;5;6;7;8}",5,-1,30
1,9,1,"{2;5;6;7;9}",5,-1,31
1,9,1,"{2;5;6;8;9}",5,-1,32
1,9,1,"{2;5;7;8;9}",5,-1,33
1,9,1,"{2;6;7;8;9}",5,-1,34
1,9,1,"{3;4;5;6;7}",5,-1,27
1,9,1,"{3;4;5;6;8}",5,-1,28
1,9,1,"{3;4;5;6;9}",5,-1,29
1,9,1,"{3;4;5;7;8}",5,-1,29
1,9,1,"{3;4;5;7;9}",5,-1,30
1,9,1,"{3;4;5;8;9}",5,-1,31
1,9,1,"{3;4;6;7;8}",5,-1,30
1,9,1,"{3;4;6;7;9}",5,-1,31
1,9,1,"{3;4;6;8;9}",5,-1,32
1,9,1,"{3;4;7;8;9}",5,-1,33
1,9,1,"{3;5;6;7;8}",5,-1,31
1,9,1,"{3;5;6;7;9}",5,-1,32
1,9,1,"{3;5;6;8;9}",5,-1,33
1,9,1,"{3;5;7;8;9}",5,-1,34
1,9,1,"{3;6;7;8;9}",5,-1,35
1,9,1,"{4;5;6;7;8}",5,-1,32
1,9,1,"{4;5;6;7;9}",5,-1,33
1,9,1,"{4;5;6;8;9}",5,-1,34
1,9,1,"{4;5;7;8;9}",5,-1,35
1,9,1,"{4;6;7;8;9}",5,-1,36
1,9,1,"{5;6;7;8;9}",5,-1,37
1,9,1,"{2;3;4;5;6;7}",6,1,29
1,9,1,"{2;3;4;5;6;8}",6,1,30
1,9,1,"{2;3;4;5;6;9}",6,1,31
1,9,1,"{2;3;4;5;7;8}",6,1,31
1,9,1,"{2;3;4;5;7;9}",6,1,32
1,9,1,"{2;3;4;5;8;9}",6,1,33
1,9,1,"{2;3;4;6;7;8}",6,1,32
1,9,1,"{2;3;4;6;7;9}",6,1,33
1,9,1,"{2;3;4;6;8;9}",6,1,34
1,9,1,"{2;3;4;7;8;9}",6,1,35
