alpha,weight,partition,length,staircase,mu,mu_residues,beta_set,beta_residues,shifted_beta,shifted_beta_residues,beta_runner_counts,shifted_runner_counts,beta_quotient_sum,shifted_quotient_sum
0,25,21 3 1,3,5 3 1,16 0 0,1 0 0,23 4 1,3 4 1,20 1 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,4,3
0,25,20 5,2,3 1,17 4,2 4,21 5,1 0,19 3,4 3,1 1 0 0 0,0 0 0 1 1,5,3
0,25,20 4 1,3,5 3 1,15 1 0,0 1 0,22 5 1,2 0 1,19 2 -2,4 2 3,1 1 1 0 0,0 0 1 1 1,5,2
0,25,19 6,2,3 1,16 5,1 0,20 6,0 1,18 4,3 4,1 1 0 0 0,0 0 0 1 1,5,3
0,25,19 5 1,3,5 3 1,14 2 0,4 2 0,21 6 1,1 1 1,18 3 -2,3 3 3,0 3 0 0 0,0 0 0 3 0,5,2
0,25,19 4 2,3,5 3 1,14 1 1,4 1 1,21 5 2,1 0 2,18 2 -1,3 2 4,1 1 1 0 0,0 0 1 1 1,5,2
0,25,18 7,2,3 1,15 6,0 1,19 7,4 2,17 5,2 0,0 0 1 0 1,1 0 1 0 0,4,4
0,25,18 6 1,3,5 3 1,13 3 0,3 3 0,20 7 1,0 2 1,17 4 -2,2 4 3,1 1 1 0 0,0 0 1 1 1,5,2
0,25,18 5 2,3,5 3 1,13 2 1,3 2 1,20 6 2,0 1 2,17 3 -1,2 3 4,1 1 1 0 0,0 0 1 1 1,5,2
0,25,17 8,2,3 1,14 7,4 2,18 8,3 3,16 6,1 1,0 0 0 2 0,0 2 0 0 0,4,4
0,25,17 7 1,3,5 3 1,12 4 0,2 4 0,19 8 1,4 3 1,16 5 -2,1 0 3,0 1 0 1 1,1 1 0 1 0,4,3
0,25,17 6 2,3,5 3 1,12 3 1,2 3 1,19 7 2,4 2 2,16 4 -1,1 4 4,0 0 2 0 1,0 1 0 0 2,4,2
0,25,17 5 3,3,5 3 1,12 2 2,2 2 2,19 6 3,4 1 3,16 3 0,1 3 0,0 1 0 1 1,1 1 0 1 0,4,3
0,25,16 9,2,3 1,13 8,3 3,17 9,2 4,15 7,0 2,0 0 1 0 1,1 0 1 0 0,4,4
0,25,16 8 1,3,5 3 1,11 5 0,1 0 0,18 9 1,3 4 1,15 6 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,4,3
0,25,16 7 2,3,5 3 1,11 4 1,1 4 1,18 8 2,3 3 2,15 5 -1,0 0 4,0 0 1 2 0,2 0 0 0 1,4,3
0,25,16 6 3,3,5 3 1,11 3 2,1 3 2,18 7 3,3 2 3,15 4 0,0 4 0,0 0 1 2 0,2 0 0 0 1,4,3
0,25,16 5 3 1,4,7 5 3 1,9 0 0 0,4 0 0 0,19 7 4 1,4 2 4 1,15 3 0 -3,0 3 0 2,0 1 1 0 2,2 0 1 1 0,4,2
0,25,15 10,2,3 1,12 9,2 4,16 10,1 0,14 8,4 3,1 1 0 0 0,0 0 0 1 1,5,3
0,25,15 9 1,3,5 3 1,10 6 0,0 1 0,17 10 1,2 0 1,14 7 -2,4 2 3,1 1 1 0 0,0 0 1 1 1,5,2
0,25,15 8 2,3,5 3 1,10 5 1,0 0 1,17 9 2,2 4 2,14 6 -1,4 1 4,0 0 2 0 1,0 1 0 0 2,4,2
0,25,15 7 3,3,5 3 1,10 4 2,0 4 2,17 8 3,2 3 3,14 5 0,4 0 0,0 0 1 2 0,2 0 0 0 1,4,3
0,25,15 6 4,3,5 3 1,10 3 3,0 3 3,17 7 4,2 2 4,14 4 1,4 4 1,0 0 2 0 1,0 1 0 0 2,4,2
0,25,15 6 3 1,4,7 5 3 1,8 1 0 0,3 1 0 0,18 8 4 1,3 3 4 1,14 4 0 -3,4 4 0 2,0 1 0 2 1,1 0 1 0 2,4,1
0,25,14 11,2,3 1,11 10,1 0,15 11,0 1,13 9,3 4,1 1 0 0 0,0 0 0 1 1,5,3
0,25,14 10 1,3,5 3 1,9 7 0,4 2 0,16 11 1,1 1 1,13 8 -2,3 3 3,0 3 0 0 0,0 0 0 3 0,5,2
0,25,14 9 2,3,5 3 1,9 6 1,4 1 1,16 10 2,1 0 2,13 7 -1,3 2 4,1 1 1 0 0,0 0 1 1 1,5,2
0,25,14 8 3,3,5 3 1,9 5 2,4 0 2,16 9 3,1 4 3,13 6 0,3 1 0,0 1 0 1 1,1 1 0 1 0,4,3
0,25,14 7 4,3,5 3 1,9 4 3,4 4 3,16 8 4,1 3 4,13 5 1,3 0 1,0 1 0 1 1,1 1 0 1 0,4,3
0,25,14 7 3 1,4,7 5 3 1,7 2 0 0,2 2 0 0,17 9 4 1,2 4 4 1,13 5 0 -3,3 0 0 2,0 1 1 0 2,2 0 1 1 0,4,2
0,25,14 6 4 1,4,7 5 3 1,7 1 1 0,2 1 1 0,17 8 5 1,2 3 0 1,13 4 1 -3,3 4 1 2,1 1 1 1 0,0 1 1 1 1,5,1
0,25,13 11 1,3,5 3 1,8 8 0,3 3 0,15 12 1,0 2 1,12 9 -2,2 4 3,1 1 1 0 0,0 0 1 1 1,5,2
0,25,13 10 2,3,5 3 1,8 7 1,3 2 1,15 11 2,0 1 2,12 8 -1,2 3 4,1 1 1 0 0,0 0 1 1 1,5,2
0,25,13 9 3,3,5 3 1,8 6 2,3 1 2,15 10 3,0 0 3,12 7 0,2 2 0,2 0 0 1 0,1 0 2 0 0,5,3
0,25,13 8 4,3,5 3 1,8 5 3,3 0 3,15 9 4,0 4 4,12 6 1,2 1 1,1 0 0 0 2,0 2 1 0 0,4,3
0,25,13 8 3 1,4,7 5 3 1,6 3 0 0,1 3 0 0,16 10 4 1,1 0 4 1,12 6 0 -3,2 1 0 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,13 7 5,3,5 3 1,8 4 4,3 4 4,15 8 5,0 3 0,12 5 2,2 0 2,2 0 0 1 0,1 0 2 0 0,5,3
0,25,13 7 4 1,4,7 5 3 1,6 2 1 0,1 2 1 0,16 9 5 1,1 4 0 1,12 5 1 -3,2 0 1 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,13 6 4 2,4,7 5 3 1,6 1 1 1,1 1 1 1,16 8 5 2,1 3 0 2,12 4 1 -2,2 4 1 3,1 1 1 1 0,0 1 1 1 1,5,1
0,25,12 10 3,3,5 3 1,7 7 2,2 2 2,14 11 3,4 1 3,11 8 0,1 3 0,0 1 0 1 1,1 1 0 1 0,4,3
0,25,12 9 4,3,5 3 1,7 6 3,2 1 3,14 10 4,4 0 4,11 7 1,1 2 1,1 0 0 0 2,0 2 1 0 0,4,3
0,25,12 9 3 1,4,7 5 3 1,5 4 0 0,0 4 0 0,15 11 4 1,0 1 4 1,11 7 0 -3,1 2 0 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,12 8 5,3,5 3 1,7 5 4,2 0 4,14 9 5,4 4 0,11 6 2,1 1 2,1 0 0 0 2,0 2 1 0 0,4,3
0,25,12 8 4 1,4,7 5 3 1,5 3 1 0,0 3 1 0,15 10 5 1,0 0 0 1,11 6 1 -3,1 1 1 2,3 1 0 0 0,0 3 1 0 0,6,2
0,25,12 7 5 1,4,7 5 3 1,5 2 2 0,0 2 2 0,15 9 6 1,0 4 1 1,11 5 2 -3,1 0 2 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,12 7 4 2,4,7 5 3 1,5 2 1 1,0 2 1 1,15 9 5 2,0 4 0 2,11 5 1 -2,1 0 1 3,2 0 1 0 1,1 2 0 1 0,5,2
0,25,11 9 5,3,5 3 1,6 6 4,1 1 4,13 10 5,3 0 0,10 7 2,0 2 2,2 0 0 1 0,1 0 2 0 0,5,3
0,25,11 9 4 1,4,7 5 3 1,4 4 1 0,4 4 1 0,14 11 5 1,4 1 0 1,10 7 1 -3,0 2 1 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,11 8 6,3,5 3 1,6 5 5,1 0 0,13 9 6,3 4 1,10 6 3,0 1 3,0 1 0 1 1,1 1 0 1 0,4,3
0,25,11 8 5 1,4,7 5 3 1,4 3 2 0,4 3 2 0,14 10 6 1,4 0 1 1,10 6 2 -3,0 1 2 2,1 2 0 0 1,1 1 2 0 0,5,2
0,25,11 8 4 2,4,7 5 3 1,4 3 1 1,4 3 1 1,14 10 5 2,4 0 0 2,10 6 1 -2,0 1 1 3,2 0 1 0 1,1 2 0 1 0,5,2
0,25,11 7 5 2,4,7 5 3 1,4 2 2 1,4 2 2 1,14 9 6 2,4 4 1 2,10 5 2 -2,0 0 2 3,0 1 1 0 2,2 0 1 1 0,4,2
0,25,10 8 6 1,4,7 5 3 1,3 3 3 0,3 3 3 0,13 10 7 1,3 0 2 1,9 6 3 -3,4 1 3 2,1 1 1 1 0,0 1 1 1 1,5,1
0,25,10 8 5 2,4,7 5 3 1,3 3 2 1,3 3 2 1,13 10 6 2,3 0 1 2,9 6 2 -2,4 1 2 3,1 1 1 1 0,0 1 1 1 1,5,1
0,25,10 7 5 3,4,7 5 3 1,3 2 2 2,3 2 2 2,13 9 6 3,3 4 1 3,9 5 2 -1,4 0 2 4,0 1 0 2 1,1 0 1 0 2,4,1
0,25,9 7 5 3 1,5,9 7 5 3 1,0 0 0 0 0,0 0 0 0 0,13 10 7 4 1,3 0 2 4 1,8 5 2 -1 -4,3 0 2 4 1,1 1 1 1 1,1 1 1 1 1,5,0
0,26,26,1,1,25,0,26,1,25,0,0 1 0 0 0,1 0 0 0 0,5,5
0,26,25 1,2,3 1,22 0,2 0,26 1,1 1,24 -1,4 4,0 2 0 0 0,0 0 0 0 2,5,3
0,26,24 2,2,3 1,21 1,1 1,25 2,0 2,23 0,3 0,1 0 1 0 0,1 0 0 1 0,5,4
0,26,23 3,2,3 1,20 2,0 2,24 3,4 3,22 1,2 1,0 0 0 1 1,0 1 1 0 0,4,4
0,26,22 4,2,3 1,19 3,4 3,23 4,3 4,21 2,1 2,0 0 0 1 1,0 1 1 0 0,4,4
0,26,22 3 1,3,5 3 1,17 0 0,2 0 0,24 4 1,4 4 1,21 1 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,4,3
0,26,21 5,2,3 1,18 4,3 4,22 5,2 0,20 3,0 3,1 0 1 0 0,1 0 0 1 0,5,4
0,26,21 4 1,3,5 3 1,16 1 0,1 1 0,23 5 1,3 0 1,20 2 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,5,3
0,26,20 6,2,3 1,17 5,2 0,21 6,1 1,19 4,4 4,0 2 0 0 0,0 0 0 0 2,5,3
0,26,20 5 1,3,5 3 1,15 2 0,0 2 0,22 6 1,2 1 1,19 3 -2,4 3 3,0 2 1 0 0,0 0 0 2 1,5,2
0,26,20 4 2,3,5 3 1,15 1 1,0 1 1,22 5 2,2 0 2,19 2 -1,4 2 4,1 0 2 0 0,0 0 1 0 2,5,2
0,26,19 7,2,3 1,16 6,1 1,20 7,0 2,18 5,3 0,1 0 1 0 0,1 0 0 1 0,5,4
0,26,19 6 1,3,5 3 1,14 3 0,4 3 0,21 7 1,1 2 1,18 4 -2,3 4 3,0 2 1 0 0,0 0 0 2 1,5,2
0,26,19 5 2,3,5 3 1,14 2 1,4 2 1,21 6 2,1 1 2,18 3 -1,3 3 4,0 2 1 0 0,0 0 0 2 1,5,2
0,26,18 8,2,3 1,15 7,0 2,19 8,4 3,17 6,2 1,0 0 0 1 1,0 1 1 0 0,4,4
0,26,18 7 1,3,5 3 1,13 4 0,3 4 0,20 8 1,0 3 1,17 5 -2,2 0 3,1 1 0 1 0,1 0 1 1 0,5,3
0,26,18 6 2,3,5 3 1,13 3 1,3 3 1,20 7 2,0 2 2,17 4 -1,2 4 4,1 0 2 0 0,0 0 1 0 2,5,2
0,26,18 5 3,3,5 3 1,13 2 2,3 2 2,20 6 3,0 1 3,17 3 0,2 3 0,1 1 0 1 0,1 0 1 1 0,5,3
0,26,17 9,2,3 1,14 8,4 3,18 9,3 4,16 7,1 2,0 0 0 1 1,0 1 1 0 0,4,4
0,26,17 8 1,3,5 3 1,12 5 0,2 0 0,19 9 1,4 4 1,16 6 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,4,3
0,26,17 7 2,3,5 3 1,12 4 1,2 4 1,19 8 2,4 3 2,16 5 -1,1 0 4,0 0 1 1 1,1 1 0 0 1,4,3
0,26,17 6 3,3,5 3 1,12 3 2,2 3 2,19 7 3,4 2 3,16 4 0,1 4 0,0 0 1 1 1,1 1 0 0 1,4,3
0,26,17 5 3 1,4,7 5 3 1,10 0 0 0,0 0 0 0,20 7 4 1,0 2 4 1,16 3 0 -3,1 3 0 2,1 1 1 0 1,1 1 1 1 0,5,2
0,26,16 10,2,3 1,13 9,3 4,17 10,2 0,15 8,0 3,1 0 1 0 0,1 0 0 1 0,5,4
0,26,16 9 1,3,5 3 1,11 6 0,1 1 0,18 10 1,3 0 1,15 7 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,5,3
0,26,16 8 2,3,5 3 1,11 5 1,1 0 1,18 9 2,3 4 2,15 6 -1,0 1 4,0 0 1 1 1,1 1 0 0 1,4,3
0,26,16 7 3,3,5 3 1,11 4 2,1 4 2,18 8 3,3 3 3,15 5 0,0 0 0,0 0 0 3 0,3 0 0 0 0,4,4
0,26,16 6 4,3,5 3 1,11 3 3,1 3 3,18 7 4,3 2 4,15 4 1,0 4 1,0 0 1 1 1,1 1 0 0 1,4,3
0,26,16 6 3 1,4,7 5 3 1,9 1 0 0,4 1 0 0,19 8 4 1,4 3 4 1,15 4 0 -3,0 4 0 2,0 1 0 1 2,2 0 1 0 1,4,2
0,26,15 11,2,3 1,12 10,2 0,16 11,1 1,14 9,4 4,0 2 0 0 0,0 0 0 0 2,5,3
0,26,15 10 1,3,5 3 1,10 7 0,0 2 0,17 11 1,2 1 1,14 8 -2,4 3 3,0 2 1 0 0,0 0 0 2 1,5,2
0,26,15 9 2,3,5 3 1,10 6 1,0 1 1,17 10 2,2 0 2,14 7 -1,4 2 4,1 0 2 0 0,0 0 1 0 2,5,2
0,26,15 8 3,3,5 3 1,10 5 2,0 0 2,17 9 3,2 4 3,14 6 0,4 1 0,0 0 1 1 1,1 1 0 0 1,4,3
0,26,15 7 4,3,5 3 1,10 4 3,0 4 3,17 8 4,2 3 4,14 5 1,4 0 1,0 0 1 1 1,1 1 0 0 1,4,3
0,26,15 7 3 1,4,7 5 3 1,8 2 0 0,3 2 0 0,18 9 4 1,3 4 4 1,14 5 0 -3,4 0 0 2,0 1 0 1 2,2 0 1 0 1,4,2
0,26,15 6 4 1,4,7 5 3 1,8 1 1 0,3 1 1 0,18 8 5 1,3 3 0 1,14 4 1 -3,4 4 1 2,1 1 0 2 0,0 1 1 0 2,5,1
0,26,14 12,2,3 1,11 11,1 1,15 12,0 2,13 10,3 0,1 0 1 0 0,1 0 0 1 0,5,4
0,26,14 11 1,3,5 3 1,9 8 0,4 3 0,16 12 1,1 2 1,13 9 -2,3 4 3,0 2 1 0 0,0 0 0 2 1,5,2
0,26,14 10 2,3,5 3 1,9 7 1,4 2 1,16 11 2,1 1 2,13 8 -1,3 3 4,0 2 1 0 0,0 0 0 2 1,5,2
0,26,14 9 3,3,5 3 1,9 6 2,4 1 2,16 10 3,1 0 3,13 7 0,3 2 0,1 1 0 1 0,1 0 1 1 0,5,3
0,26,14 8 4,3,5 3 1,9 5 3,4 0 3,16 9 4,1 4 4,13 6 1,3 1 1,0 1 0 0 2,0 2 0 1 0,4,3
0,26,14 8 3 1,4,7 5 3 1,7 3 0 0,2 3 0 0,17 10 4 1,2 0 4 1,13 6 0 -3,3 1 0 2,1 1 1 0 1,1 1 1 1 0,5,2
0,26,14 7 5,3,5 3 1,9 4 4,4 4 4,16 8 5,1 3 0,13 5 2,3 0 2,1 1 0 1 0,1 0 1 1 0,5,3
0,26,14 7 4 1,4,7 5 3 1,7 2 1 0,2 2 1 0,17 9 5 1,2 4 0 1,13 5 1 -3,3 0 1 2,1 1 1 0 1,1 1 1 1 0,5,2
0,26,14 6 4 2,4,7 5 3 1,7 1 1 1,2 1 1 1,17 8 5 2,2 3 0 2,13 4 1 -2,3 4 1 3,1 0 2 1 0,0 1 0 2 1,5,1
0,26,13 11 2,3,5 3 1,8 8 1,3 3 1,15 12 2,0 2 2,12 9 -1,2 4 4,1 0 2 0 0,0 0 1 0 2,5,2
0,26,13 10 3,3,5 3 1,8 7 2,3 2 2,15 11 3,0 1 3,12 8 0,2 3 0,1 1 0 1 0,1 0 1 1 0,5,3
0,26,13 9 4,3,5 3 1,8 6 3,3 1 3,15 10 4,0 0 4,12 7 1,2 2 1,2 0 0 0 1,0 1 2 0 0,5,3
0,26,13 9 3 1,4,7 5 3 1,6 4 0 0,1 4 0 0,16 11 4 1,1 1 4 1,12 7 0 -3,2 2 0 2,0 3 0 0 1,1 0 3 0 0,5,2
0,26,13 8 5,3,5 3 1,8 5 4,3 0 4,15 9 5,0 4 0,12 6 2,2 1 2,2 0 0 0 1,0 1 2 0 0,5,3
0,26,13 8 4 1,4,7 5 3 1,6 3 1 0,1 3 1 0,16 10 5 1,1 0 0 1,12 6 1 -3,2 1 1 2,2 2 0 0 0,0 2 2 0 0,6,2
0,26,13 7 5 1,4,7 5 3 1,6 2 2 0,1 2 2 0,16 9 6 1,1 4 1 1,12 5 2 -3,2 0 2 2,0 3 0 0 1,1 0 3 0 0,5,2
0,26,13 7 4 2,4,7 5 3 1,6 2 1 1,1 2 1 1,16 9 5 2,1 4 0 2,12 5 1 -2,2 0 1 3,1 1 1 0 1,1 1 1 1 0,5,2
0,26,12 10 4,3,5 3 1,7 7 3,2 2 3,14 11 4,4 1 4,11 8 1,1 3 1,0 1 0 0 2,0 2 0 1 0,4,3
0,26,12 10 3 1,4,7 5 3 1,5 5 0 0,0 0 0 0,15 12 4 1,0 2 4 1,11 8 0 -3,1 3 0 2,1 1 1 0 1,1 1 1 1 0,5,2
0,26,12 9 5,3,5 3 1,7 6 4,2 1 4,14 10 5,4 0 0,11 7 2,1 2 2,2 0 0 0 1,0 1 2 0 0,5,3
0,26,12 9 4 1,4,7 5 3 1,5 4 1 0,0 4 1 0,15 11 5 1,0 1 0 1,11 7 1 -3,1 2 1 2,2 2 0 0 0,0 2 2 0 0,6,2
0,26,12 8 6,3,5 3 1,7 5 5,2 0 0,14 9 6,4 4 1,11 6 3,1 1 3,0 1 0 0 2,0 2 0 1 0,4,3
0,26,12 8 5 1,4,7 5 3 1,5 3 2 0,0 3 2 0,15 10 6 1,0 0 1 1,11 6 2 -3,1 1 2 2,2 2 0 0 0,0 2 2 0 0,6,2
0,26,12 8 4 2,4,7 5 3 1,5 3 1 1,0 3 1 1,15 10 5 2,0 0 0 2,11 6 1 -2,1 1 1 3,3 0 1 0 0,0 3 0 1 0,6,2
0,26,12 7 5 2,4,7 5 3 1,5 2 2 1,0 2 2 1,15 9 6 2,0 4 1 2,11 5 2 -2,1 0 2 3,1 1 1 0 1,1 1 1 1 0,5,2
0,26,11 9 6,3,5 3 1,6 6 5,1 1 0,13 10 6,3 0 1,10 7 3,0 2 3,1 1 0 1 0,1 0 1 1 0,5,3
0,26,11 9 5 1,4,7 5 3 1,4 4 2 0,4 4 2 0,14 11 6 1,4 1 1 1,10 7 2 -3,0 2 2 2,0 3 0 0 1,1 0 3 0 0,5,2
0,26,11 9 4 2,4,7 5 3 1,4 4 1 1,4 4 1 1,14 11 5 2,4 1 0 2,10 7 1 -2,0 2 1 3,1 1 1 0 1,1 1 1 1 0,5,2
0,26,11 8 6 1,4,7 5 3 1,4 3 3 0,4 3 3 0,14 10 7 1,4 0 2 1,10 6 3 -3,0 1 3 2,1 1 1 0 1,1 1 1 1 0,5,2
0,26,11 8 5 2,4,7 5 3 1,4 3 2 1,4 3 2 1,14 10 6 2,4 0 1 2,10 6 2 -2,0 1 2 3,1 1 1 0 1,1 1 1 1 0,5,2
0,26,11 7 5 3,4,7 5 3 1,4 2 2 2,4 2 2 2,14 9 6 3,4 4 1 3,10 5 2 -1,0 0 2 4,0 1 0 1 2,2 0 1 0 1,4,2
0,26,10 8 6 2,4,7 5 3 1,3 3 3 1,3 3 3 1,13 10 7 2,3 0 2 2,9 6 3 -2,4 1 3 3,1 0 2 1 0,0 1 0 2 1,5,1
0,26,10 8 5 3,4,7 5 3 1,3 3 2 2,3 3 2 2,13 10 6 3,3 0 1 3,9 6 2 -1,4 1 2 4,1 1 0 2 0,0 1 1 0 2,5,1
0,26,10 7 5 3 1,5,9 7 5 3 1,1 0 0 0 0,1 0 0 0 0,14 10 7 4 1,4 0 2 4 1,9 5 2 -1 -4,4 0 2 4 1,1 1 1 0 2,1 1 1 0 2,5,0
0,27,27,1,1,26,1,27,2,26,1,0 0 1 0 0,0 1 0 0 0,5,5
0,27,26 1,2,3 1,23 0,3 0,27 1,2 1,25 -1,0 4,0 1 1 0 0,1 0 0 0 1,5,4
0,27,25 2,2,3 1,22 1,2 1,26 2,1 2,24 0,4 0,0 1 1 0 0,1 0 0 0 1,5,4
0,27,24 3,2,3 1,21 2,1 2,25 3,0 3,23 1,3 1,1 0 0 1 0,0 1 0 1 0,5,4
0,27,23 4,2,3 1,20 3,0 3,24 4,4 4,22 2,2 2,0 0 0 0 2,0 0 2 0 0,4,4
0,27,23 3 1,3,5 3 1,18 0 0,3 0 0,25 4 1,0 4 1,22 1 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,5,3
0,27,22 5,2,3 1,19 4,4 4,23 5,3 0,21 3,1 3,1 0 0 1 0,0 1 0 1 0,5,4
0,27,22 4 1,3,5 3 1,17 1 0,2 1 0,24 5 1,4 0 1,21 2 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,5,3
0,27,21 6,2,3 1,18 5,3 0,22 6,2 1,20 4,0 4,0 1 1 0 0,1 0 0 0 1,5,4
0,27,21 5 1,3,5 3 1,16 2 0,1 2 0,23 6 1,3 1 1,20 3 -2,0 3 3,0 2 0 1 0,1 0 0 2 0,5,3
0,27,21 4 2,3,5 3 1,16 1 1,1 1 1,23 5 2,3 0 2,20 2 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,5,3
0,27,20 7,2,3 1,17 6,2 1,21 7,1 2,19 5,4 0,0 1 1 0 0,1 0 0 0 1,5,4
0,27,20 6 1,3,5 3 1,15 3 0,0 3 0,22 7 1,2 2 1,19 4 -2,4 4 3,0 1 2 0 0,0 0 0 1 2,5,2
0,27,20 5 2,3,5 3 1,15 2 1,0 2 1,22 6 2,2 1 2,19 3 -1,4 3 4,0 1 2 0 0,0 0 0 1 2,5,2
0,27,19 8,2,3 1,16 7,1 2,20 8,0 3,18 6,3 1,1 0 0 1 0,0 1 0 1 0,5,4
0,27,19 7 1,3,5 3 1,14 4 0,4 4 0,21 8 1,1 3 1,18 5 -2,3 0 3,0 2 0 1 0,1 0 0 2 0,5,3
0,27,19 6 2,3,5 3 1,14 3 1,4 3 1,21 7 2,1 2 2,18 4 -1,3 4 4,0 1 2 0 0,0 0 0 1 2,5,2
0,27,19 5 3,3,5 3 1,14 2 2,4 2 2,21 6 3,1 1 3,18 3 0,3 3 0,0 2 0 1 0,1 0 0 2 0,5,3
0,27,18 9,2,3 1,15 8,0 3,19 9,4 4,17 7,2 2,0 0 0 0 2,0 0 2 0 0,4,4
0,27,18 8 1,3,5 3 1,13 5 0,3 0 0,20 9 1,0 4 1,17 6 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,5,3
0,27,18 7 2,3,5 3 1,13 4 1,3 4 1,20 8 2,0 3 2,17 5 -1,2 0 4,1 0 1 1 0,1 0 1 0 1,5,3
0,27,18 6 3,3,5 3 1,13 3 2,3 3 2,20 7 3,0 2 3,17 4 0,2 4 0,1 0 1 1 0,1 0 1 0 1,5,3
0,27,18 5 3 1,4,7 5 3 1,11 0 0 0,1 0 0 0,21 7 4 1,1 2 4 1,17 3 0 -3,2 3 0 2,0 2 1 0 1,1 0 2 1 0,5,2
0,27,17 10,2,3 1,14 9,4 4,18 10,3 0,16 8,1 3,1 0 0 1 0,0 1 0 1 0,5,4
0,27,17 9 1,3,5 3 1,12 6 0,2 1 0,19 10 1,4 0 1,16 7 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,5,3
0,27,17 8 2,3,5 3 1,12 5 1,2 0 1,19 9 2,4 4 2,16 6 -1,1 1 4,0 0 1 0 2,0 2 0 0 1,4,3
0,27,17 7 3,3,5 3 1,12 4 2,2 4 2,19 8 3,4 3 3,16 5 0,1 0 0,0 0 0 2 1,2 1 0 0 0,4,4
0,27,17 6 4,3,5 3 1,12 3 3,2 3 3,19 7 4,4 2 4,16 4 1,1 4 1,0 0 1 0 2,0 2 0 0 1,4,3
0,27,17 6 3 1,4,7 5 3 1,10 1 0 0,0 1 0 0,20 8 4 1,0 3 4 1,16 4 0 -3,1 4 0 2,1 1 0 1 1,1 1 1 0 1,5,2
0,27,16 11,2,3 1,13 10,3 0,17 11,2 1,15 9,0 4,0 1 1 0 0,1 0 0 0 1,5,4
0,27,16 10 1,3,5 3 1,11 7 0,1 2 0,18 11 1,3 1 1,15 8 -2,0 3 3,0 2 0 1 0,1 0 0 2 0,5,3
0,27,16 9 2,3,5 3 1,11 6 1,1 1 1,18 10 2,3 0 2,15 7 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,5,3
0,27,16 8 3,3,5 3 1,11 5 2,1 0 2,18 9 3,3 4 3,15 6 0,0 1 0,0 0 0 2 1,2 1 0 0 0,4,4
0,27,16 7 4,3,5 3 1,11 4 3,1 4 3,18 8 4,3 3 4,15 5 1,0 0 1,0 0 0 2 1,2 1 0 0 0,4,4
0,27,16 7 3 1,4,7 5 3 1,9 2 0 0,4 2 0 0,19 9 4 1,4 4 4 1,15 5 0 -3,0 0 0 2,0 1 0 0 3,3 0 1 0 0,4,3
0,27,16 6 4 1,4,7 5 3 1,9 1 1 0,4 1 1 0,19 8 5 1,4 3 0 1,15 4 1 -3,0 4 1 2,1 1 0 1 1,1 1 1 0 1,5,2
0,27,15 12,2,3 1,12 11,2 1,16 12,1 2,14 10,4 0,0 1 1 0 0,1 0 0 0 1,5,4
0,27,15 11 1,3,5 3 1,10 8 0,0 3 0,17 12 1,2 2 1,14 9 -2,4 4 3,0 1 2 0 0,0 0 0 1 2,5,2
0,27,15 10 2,3,5 3 1,10 7 1,0 2 1,17 11 2,2 1 2,14 8 -1,4 3 4,0 1 2 0 0,0 0 0 1 2,5,2
0,27,15 9 3,3,5 3 1,10 6 2,0 1 2,17 10 3,2 0 3,14 7 0,4 2 0,1 0 1 1 0,1 0 1 0 1,5,3
0,27,15 8 4,3,5 3 1,10 5 3,0 0 3,17 9 4,2 4 4,14 6 1,4 1 1,0 0 1 0 2,0 2 0 0 1,4,3
0,27,15 8 3 1,4,7 5 3 1,8 3 0 0,3 3 0 0,18 10 4 1,3 0 4 1,14 6 0 -3,4 1 0 2,1 1 0 1 1,1 1 1 0 1,5,2
0,27,15 7 5,3,5 3 1,10 4 4,0 4 4,17 8 5,2 3 0,14 5 2,4 0 2,1 0 1 1 0,1 0 1 0 1,5,3
0,27,15 7 4 1,4,7 5 3 1,8 2 1 0,3 2 1 0,18 9 5 1,3 4 0 1,14 5 1 -3,4 0 1 2,1 1 0 1 1,1 1 1 0 1,5,2
0,27,15 6 4 2,4,7 5 3 1,8 1 1 1,3 1 1 1,18 8 5 2,3 3 0 2,14 4 1 -2,4 4 1 3,1 0 1 2 0,0 1 0 1 2,5,1
0,27,14 12 1,3,5 3 1,9 9 0,4 4 0,16 13 1,1 3 1,13 10 -2,3 0 3,0 2 0 1 0,1 0 0 2 0,5,3
0,27,14 11 2,3,5 3 1,9 8 1,4 3 1,16 12 2,1 2 2,13 9 -1,3 4 4,0 1 2 0 0,0 0 0 1 2,5,2
